name,letras_id,url,text,individualScrape,windowPageArgs,views,lyrics
17 Léguas e Meia,1571967,https://www.letras.com/gilberto-gil/1571967/,17 Léguas e Meia de Gilberto Gil,"{'windowPageArgs': '{""album_name"":""Gilberto Gil"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""17 Léguas e Meia"",""url"":""1571967""}', 'views': 126, 'lyrics': 'Eu já andei sem parar dezessete légua e meia\nPra ir num forró dançar,ai, ai, ai, ai, eu fui num\nForró dançar\nValeu a pena eu andar dezessete légua e meia\nPois rosinha tava lá, ai, ai, ai, ai, a rosinha tava\nLá\n\n\nCheguei no forró moído, em carne viva lapada\nMas logo fui socorrido tomando três talagada\nE quando zé sanfoneiro gemeu no fole um baião\nDancei com rosa ao terreiro, roçando em meu coração\nDancei com rosa ao terreiro, roçando em meu coração\nAi, ai, ai que tentação'}","{""album_name"":""Gilberto Gil"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""17 Léguas e Meia"",""url"":""1571967""}",126,"Eu já andei sem parar dezessete légua e meia
Pra ir num forró dançar,ai, ai, ai, ai, eu fui num
Forró dançar
Valeu a pena eu andar dezessete légua e meia
Pois rosinha tava lá, ai, ai, ai, ai, a rosinha tava
Lá


Cheguei no forró moído, em carne viva lapada
Mas logo fui socorrido tomando três talagada
E quando zé sanfoneiro gemeu no fole um baião
Dancei com rosa ao terreiro, roçando em meu coração
Dancei com rosa ao terreiro, roçando em meu coração
Ai, ai, ai que tentação"
17 Na Corrente,2167336,https://www.letras.com/gilberto-gil/17-na-corrente/,17 Na Corrente de Gilberto Gil,"{'windowPageArgs': '{""album_name"":""O Sol de Oslo"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""17 Na Corrente"",""url"":""17-na-corrente""}', 'views': 43, 'lyrics': 'Macaco não é valente\nDança aí 17 na corrente.\n\n\nUma viagem que fiz pelo Amazonas\nNum arvoredo eu parei pra descansar\nMe jogaram uma pedra no lugar\nEu olhei, não vi nada ali perto\nCom distância de 10 ou 12 metros\nUm guariba surgiu na minha frente\nCom coragem enfrentei o descontente\nVenci na luta e a ele eduquei\nMinha ordem pra ele é uma lei,\nDança aí 17 na corrente...\n\nCoro: repete refrão.\n\nTendo eu dominado este vivente\nHoje ele vive amarrado pelo meio\nEu trabalho com ele e não receio\nDança aí 17 na corrente.\n\nCoro: repete refrão.\n\nEle hoje é bastante educado\nFuma, toca e sabe até dançar\nJá faz pose e tem ginga no andar\nE conversa comigo por aceno\nFaz careta e fica se mordendo\nSe uma loura passar e não falar\nEle diz que o dia é de azar\nE reclama por não estar decente\nJá não briga e respeita toda gente\nDança aí 17 na corrente.'}","{""album_name"":""O Sol de Oslo"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""17 Na Corrente"",""url"":""17-na-corrente""}",43,"Macaco não é valente
Dança aí 17 na corrente.


Uma viagem que fiz pelo Amazonas
Num arvoredo eu parei pra descansar
Me jogaram uma pedra no lugar
Eu olhei, não vi nada ali perto
Com distância de 10 ou 12 metros
Um guariba surgiu na minha frente
Com coragem enfrentei o descontente
Venci na luta e a ele eduquei
Minha ordem pra ele é uma lei,
Dança aí 17 na corrente...

Coro: repete refrão.

Tendo eu dominado este vivente
Hoje ele vive amarrado pelo meio
Eu trabalho com ele e não receio
Dança aí 17 na corrente.

Coro: repete refrão.

Ele hoje é bastante educado
Fuma, toca e sabe até dançar
Já faz pose e tem ginga no andar
E conversa comigo por aceno
Faz careta e fica se mordendo
Se uma loura passar e não falar
Ele diz que o dia é de azar
E reclama por não estar decente
Já não briga e respeita toda gente
Dança aí 17 na corrente."
2001,1179389,https://www.letras.com/gilberto-gil/1179389/,2001 de Gilberto Gil,"{'windowPageArgs': '{""album_name"":""Gilberto Gil"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""2001"",""url"":""1179389""}', 'views': 85, 'lyrics': ""Astronauta libertado\nMinha vida me ultrapassa\nEm qualquer rota que eu faça\nDei um grito no escuro\nSou parceiro do futuro\nNa reluzente galáxia\n\n\nEu quase posso palpar\nA minha vida que grita\nEmprenha e se reproduz\nNa velocidade da luz\nA cor do céu me compõe\nO mar azul me dissolve\nA equação me propõe\nComputador me resolve\n\nAmei a velocidade\nCasei com sete planetas\nPor filho, cor e espaço\nNão me tenho nem me faço\nA rota do ano-luz\nCalculo dentro do passo\nMinha dor é cicatriz\nMinha morte não me quis\n\nNos braços de dois mil anos\nEu nasci sem Ter idade\nSou casado sou solteiro\nSou baiano e estrangeiro\nMeu sangue é de gasolina\nCorrendo não tenho mágoa\nMeu peito é de sal de fruta\nFervendo no copo d'água""}","{""album_name"":""Gilberto Gil"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""2001"",""url"":""1179389""}",85,"Astronauta libertado
Minha vida me ultrapassa
Em qualquer rota que eu faça
Dei um grito no escuro
Sou parceiro do futuro
Na reluzente galáxia


Eu quase posso palpar
A minha vida que grita
Emprenha e se reproduz
Na velocidade da luz
A cor do céu me compõe
O mar azul me dissolve
A equação me propõe
Computador me resolve

Amei a velocidade
Casei com sete planetas
Por filho, cor e espaço
Não me tenho nem me faço
A rota do ano-luz
Calculo dentro do passo
Minha dor é cicatriz
Minha morte não me quis

Nos braços de dois mil anos
Eu nasci sem Ter idade
Sou casado sou solteiro
Sou baiano e estrangeiro
Meu sangue é de gasolina
Correndo não tenho mágoa
Meu peito é de sal de fruta
Fervendo no copo d'água"
- Aqui Agora,3160604,https://www.letras.com/gilberto-gil/aqui-agora/,- Aqui Agora de Gilberto Gil,"{'windowPageArgs': '{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""- Aqui Agora"",""url"":""aqui-agora""}', 'views': 99, 'lyrics': 'O melhor lugar do mundo é aqui,\nE agora bis\nAqui onde indefinido\nAgora que é quase quando\nQuando ser leve ou pesado\nDeixa de fazer sentido\nAqui de onde o olho mira\nAgora que ouvido escuta\nO tempo que a voz não fala\nMas que o coração tributa\nO melhor lugar do mundo é aqui,\nE agora bis\nAqui onde a cor é clara\nAgora que é tudo escuro\nViver em Guadalajara\nDentro de um figo maduro\nAqui longe em nova deli\nAgora sete, oito ou nove\nSentir é questão de pele\nAmor é tudo que move\nO melhor lugar do mundo é aqui,\nE agora bis\nAqui perto passa um rio\nAgora eu vi um lagarto\nMorrer deve ser tão frio\nQuanto na hora do parto\nAqui fora de perigo\nAgora dentro de instantes\nDepois de tudo que eu digo\nMuito embora muito antes\nO melhor lugar do mundo é aqui,\n'}","{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""- Aqui Agora"",""url"":""aqui-agora""}",99,"O melhor lugar do mundo é aqui,
E agora bis
Aqui onde indefinido
Agora que é quase quando
Quando ser leve ou pesado
Deixa de fazer sentido
Aqui de onde o olho mira
Agora que ouvido escuta
O tempo que a voz não fala
Mas que o coração tributa
O melhor lugar do mundo é aqui,
E agora bis
Aqui onde a cor é clara
Agora que é tudo escuro
Viver em Guadalajara
Dentro de um figo maduro
Aqui longe em nova deli
Agora sete, oito ou nove
Sentir é questão de pele
Amor é tudo que move
O melhor lugar do mundo é aqui,
E agora bis
Aqui perto passa um rio
Agora eu vi um lagarto
Morrer deve ser tão frio
Quanto na hora do parto
Aqui fora de perigo
Agora dentro de instantes
Depois de tudo que eu digo
Muito embora muito antes
O melhor lugar do mundo é aqui,
"
A Abóbada da Vida,316672,https://www.letras.com/gilberto-gil/316672/,A Abóbada da Vida de Gilberto Gil,"{'windowPageArgs': '{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Abóbada da Vida"",""url"":""316672""}', 'views': 88, 'lyrics': 'É a abóbada\nLá no alto da cabeça\nDe onde a alma brilha pendulada\nComo um cristal num pingente\nÉ a mente\nÉ a mente atônita\nDescendo e subindo a escada\nDa coluna vertebral da gente\nTentando alcançar a abóbada\nDa vida\n\n\nÉ a vida abobalhada\nIlhada dentro do corpo\nNotre Dame imaculada\nÓrgãos por todos os lados\nTocando música\nE os olhos da vida em êxtase\nVendo a alma brilhar pendulada\nPresa no alto da abóbada\nDa vida'}","{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Abóbada da Vida"",""url"":""316672""}",88,"É a abóbada
Lá no alto da cabeça
De onde a alma brilha pendulada
Como um cristal num pingente
É a mente
É a mente atônita
Descendo e subindo a escada
Da coluna vertebral da gente
Tentando alcançar a abóbada
Da vida


É a vida abobalhada
Ilhada dentro do corpo
Notre Dame imaculada
Órgãos por todos os lados
Tocando música
E os olhos da vida em êxtase
Vendo a alma brilhar pendulada
Presa no alto da abóbada
Da vida"
A Água Benta,574161,https://www.letras.com/gilberto-gil/574161/,A Água Benta de Gilberto Gil,"{'windowPageArgs': '{""album_name"":""Quanta"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Água Benta"",""url"":""574161""}', 'views': 159, 'lyrics': ""A água benta que batizou\nContaminou o bebê\nA medicina e o seu doutor\nNada puderam fazer\nO desespero se apoderou\nDo padre, do pai, da mãe\nFoi quando então alguém se lembrou\nDe um feiticeiro de Ossãin\nUm simples banho de folhas fez\nO que não se esperava mais\n\n\nDepois, depois muitos muitos anos depois\nRapaz, aquele menino já então rapaz\nSe fez um rei entre os grandes babalaôs\nDos tais, dos tais como já não se fazem mais\n\nA água benta que ao bel prazer\nSe desmagnetizou\nDesconectada do seu poder\nPor um capricho do amor\nAmor condutor do élan vital\nQue o chinês chama de ch'i\nQue Dom Juan chama de nagual\nQue não circulava ali\nAli na grã pia batismal\nO amor deixara de fluir\n\nTalvez por mero defeito na ligação\nSutil entre a essência e a representação\nVerbal que tem que fazer todo coração\nMortal ao balbuciar sua oração\n\nA água benta que o bom cristão\nContaminou sem querer\nA fonte suja que o sacristão\nUtilizou sem saber\nA força neutra que move a mão\nDo assassino o punhal\nE o bisturi do cirurgião\nO todo total do Tao\nLâmina quântica do querer\nQue o feiticeiro o sabe ler\n\nFractal, de olho na fresta da imensidão\nSinal, do mistério na cauda do pavão\nIgual, ao mistério na juba do leão\nIgual, ao mistério na presa do narval""}","{""album_name"":""Quanta"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Água Benta"",""url"":""574161""}",159,"A água benta que batizou
Contaminou o bebê
A medicina e o seu doutor
Nada puderam fazer
O desespero se apoderou
Do padre, do pai, da mãe
Foi quando então alguém se lembrou
De um feiticeiro de Ossãin
Um simples banho de folhas fez
O que não se esperava mais


Depois, depois muitos muitos anos depois
Rapaz, aquele menino já então rapaz
Se fez um rei entre os grandes babalaôs
Dos tais, dos tais como já não se fazem mais

A água benta que ao bel prazer
Se desmagnetizou
Desconectada do seu poder
Por um capricho do amor
Amor condutor do élan vital
Que o chinês chama de ch'i
Que Dom Juan chama de nagual
Que não circulava ali
Ali na grã pia batismal
O amor deixara de fluir

Talvez por mero defeito na ligação
Sutil entre a essência e a representação
Verbal que tem que fazer todo coração
Mortal ao balbuciar sua oração

A água benta que o bom cristão
Contaminou sem querer
A fonte suja que o sacristão
Utilizou sem saber
A força neutra que move a mão
Do assassino o punhal
E o bisturi do cirurgião
O todo total do Tao
Lâmina quântica do querer
Que o feiticeiro o sabe ler

Fractal, de olho na fresta da imensidão
Sinal, do mistério na cauda do pavão
Igual, ao mistério na juba do leão
Igual, ao mistério na presa do narval"
A Bruxa de Mentira,316673,https://www.letras.com/gilberto-gil/316673/,A Bruxa de Mentira de Gilberto Gil,"{'windowPageArgs': '{""album_name"":""I Love MPB: Gilberto Gil"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Bruxa de Mentira"",""url"":""316673""}', 'views': 108, 'lyrics': 'A bruxa de mentira\nBombom de rapadura\nSaborosa figura\nA bruxa de mentira\n\n\nNão vejo a hora de ir\nNa barraquinha comprar\nRapadoçura bombom\nBruxinha gostosura\n\nA bruxa de mentira\nBombom de rapadura\nSaborosa figura\nA bruxa de mentira\n\nBombom de rapadura\nExdrúxula figura\nBruxinha gostosa\nNeném rapadoçura'}","{""album_name"":""I Love MPB: Gilberto Gil"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Bruxa de Mentira"",""url"":""316673""}",108,"A bruxa de mentira
Bombom de rapadura
Saborosa figura
A bruxa de mentira


Não vejo a hora de ir
Na barraquinha comprar
Rapadoçura bombom
Bruxinha gostosura

A bruxa de mentira
Bombom de rapadura
Saborosa figura
A bruxa de mentira

Bombom de rapadura
Exdrúxula figura
Bruxinha gostosa
Neném rapadoçura"
A Cegonha Me Deixou Em Madureira,2692272,https://www.letras.com/gilberto-gil/a-cegonha-me-deixou-em-madureira/,A Cegonha Me Deixou Em Madureira de Gilberto Gil,"{'windowPageArgs': '{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Cegonha Me Deixou Em Madureira"",""url"":""a-cegonha-me-deixou-em-madureira""}', 'views': 7, 'lyrics': 'Madureira, ô, ô madureira, ô, ô\nMe deixou numa santa casa barulhenta\nQue tremia toda quando o trem passava\nOlha o trem\nDisseram que eu cheguei com dois quilos e meio\nCom dois quilos e meio\nO que é que é isso?\nUm bebê ou um palito\n\n\nDisseram também que eu cheguei sorrindo\nE cantando\nEm vez de chegar chorando\nAcharam estranho\n\nA cegonha me deixou em madureira\nDe presente para minha mãe silvia lenheira\nMadureira, ô, ô\nMadureira, ô, ô\nMadureira, terra de bamba e de tradição\nDe casas coloridas e meninas bonitas\nDo jogo do bicho, do comércio e do mistério\nTerra de samba da portela e do império\nMas de madureira me levaram\n\nPara o rio comprido / tijuca\nDo rio comprido / tijuca\nMe levaram\nPara copacabana / zona sul\nE de lá eu caí no mundo\nE de lá eu caí no mundo\nAbençoado por Deus\nCantando ""mas que nada""\nJá não me chamam de vagabundo'}","{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Cegonha Me Deixou Em Madureira"",""url"":""a-cegonha-me-deixou-em-madureira""}",7,"Madureira, ô, ô madureira, ô, ô
Me deixou numa santa casa barulhenta
Que tremia toda quando o trem passava
Olha o trem
Disseram que eu cheguei com dois quilos e meio
Com dois quilos e meio
O que é que é isso?
Um bebê ou um palito


Disseram também que eu cheguei sorrindo
E cantando
Em vez de chegar chorando
Acharam estranho

A cegonha me deixou em madureira
De presente para minha mãe silvia lenheira
Madureira, ô, ô
Madureira, ô, ô
Madureira, terra de bamba e de tradição
De casas coloridas e meninas bonitas
Do jogo do bicho, do comércio e do mistério
Terra de samba da portela e do império
Mas de madureira me levaram

Para o rio comprido / tijuca
Do rio comprido / tijuca
Me levaram
Para copacabana / zona sul
E de lá eu caí no mundo
E de lá eu caí no mundo
Abençoado por Deus
Cantando ""mas que nada""
Já não me chamam de vagabundo"
A Ciência Em Si,316674,https://www.letras.com/gilberto-gil/316674/,A Ciência Em Si de Gilberto Gil,"{'windowPageArgs': '{""album_name"":""Quanta"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Ciência Em Si"",""url"":""316674""}', 'views': 184, 'lyrics': 'Se toda coincidência\nTende a que se entenda\nE toda lenda\nQuer chegar aqui\nA ciência não se aprende\nA ciência apreende\nA ciência em si\n\n\nSe toda estrela cadente\nCai pra fazer sentido\nE todo mito\nQuer ter carne aqui\nA ciência não se ensina\nA ciência insemina\nA ciência em si \n\nSe o que se pode ver, ouvir, pegar, medir, pesar\nDo avião a jato ao jaboti\nDesperta o que ainda não, não se pôde pensar\nDo sono do eterno ao eterno devir\nComo a órbita da terra abraça o vácuo devagar\nPara alcançar o que já estava aqui\nSe a crença quer se materializar\nTanto quanto a experiência quer se abstrair\nA ciência não avança\nA ciência alcança\nA ciência em si'}","{""album_name"":""Quanta"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Ciência Em Si"",""url"":""316674""}",184,"Se toda coincidência
Tende a que se entenda
E toda lenda
Quer chegar aqui
A ciência não se aprende
A ciência apreende
A ciência em si


Se toda estrela cadente
Cai pra fazer sentido
E todo mito
Quer ter carne aqui
A ciência não se ensina
A ciência insemina
A ciência em si 

Se o que se pode ver, ouvir, pegar, medir, pesar
Do avião a jato ao jaboti
Desperta o que ainda não, não se pôde pensar
Do sono do eterno ao eterno devir
Como a órbita da terra abraça o vácuo devagar
Para alcançar o que já estava aqui
Se a crença quer se materializar
Tanto quanto a experiência quer se abstrair
A ciência não avança
A ciência alcança
A ciência em si"
A Coisa Mais Linda Que Existe,316675,https://www.letras.com/gilberto-gil/316675/,A Coisa Mais Linda Que Existe de Gilberto Gil,"{'windowPageArgs': '{""album_name"":""Gilberto Gil"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Coisa Mais Linda Que Existe"",""url"":""316675""}', 'views': 364, 'lyrics': 'Coisa linda nesse mundo\nÉ sair por um segundo\nE te encontrar por aí\n\n\nE ficar sem compromisso\nPra fazer festa ou comício\nCom você perto de mim\n\nNa cidade em que me perco\nNa praça em que me resolvo\nNa noite da noite escura\nÉ lindo ter junto ao corpo\nTernura de um corpo manso\nNa noite da noite escura\n\nA coisa mais linda que existe\nÉ ter você perto de mim\nA coisa mais linda que existe\nÉ ter você perto de mim\nA coisa mais linda que existe\nÉ ter você perto de mim\n\nO apartamento, o jornal\nO pensamento, a navalha\nA sorte que o vento espalha\n\nEssa alegria, o perigo\nEu quero tudo contigo\nCom você perto de mim\n\nA coisa mais linda que existe\nÉ ter você perto de mim\nA coisa mais linda que existe\nÉ ter você perto de mim, de mim, de mim\nA coisa mais linda que existe\nÉ ter você perto de mim, de mim'}","{""album_name"":""Gilberto Gil"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Coisa Mais Linda Que Existe"",""url"":""316675""}",364,"Coisa linda nesse mundo
É sair por um segundo
E te encontrar por aí


E ficar sem compromisso
Pra fazer festa ou comício
Com você perto de mim

Na cidade em que me perco
Na praça em que me resolvo
Na noite da noite escura
É lindo ter junto ao corpo
Ternura de um corpo manso
Na noite da noite escura

A coisa mais linda que existe
É ter você perto de mim
A coisa mais linda que existe
É ter você perto de mim
A coisa mais linda que existe
É ter você perto de mim

O apartamento, o jornal
O pensamento, a navalha
A sorte que o vento espalha

Essa alegria, o perigo
Eu quero tudo contigo
Com você perto de mim

A coisa mais linda que existe
É ter você perto de mim
A coisa mais linda que existe
É ter você perto de mim, de mim, de mim
A coisa mais linda que existe
É ter você perto de mim, de mim"
A Deusa da Minha Rua,1838548,https://www.letras.com/gilberto-gil/1838548/,A Deusa da Minha Rua de Gilberto Gil,"{'windowPageArgs': '{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Deusa da Minha Rua"",""url"":""1838548""}', 'views': 82, 'lyrics': ""A deusa da minha rua\nTem os olhos onde a lua\nCostuma se embriagar\nNos seus olhos eu suponho\nQue o sol num dourado sonho\nVai claridade buscar\n\n\nMinha rua é sem graça\nMas quando por ela passa\nSeu vulto que me seduz\nA ruazinha modesta\nÉ uma paisagem de festa\nÉ uma cascata de luz\n\nNa rua uma poça d'água\nEspelho de minha mágoa\nTransporta o céu para o chão\nTal qual o chão da minha vida\nA minha alma comovida\nO meu pobre coração\n\nInfeliz da minha mágoa\nMeus olhos são poças d'água\nSonhando com seu olhar\nEla é tão rica e eu tão pobre\nEu sou plebeu e ela é nobre\nNão vale a pena sonhar""}","{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Deusa da Minha Rua"",""url"":""1838548""}",82,"A deusa da minha rua
Tem os olhos onde a lua
Costuma se embriagar
Nos seus olhos eu suponho
Que o sol num dourado sonho
Vai claridade buscar


Minha rua é sem graça
Mas quando por ela passa
Seu vulto que me seduz
A ruazinha modesta
É uma paisagem de festa
É uma cascata de luz

Na rua uma poça d'água
Espelho de minha mágoa
Transporta o céu para o chão
Tal qual o chão da minha vida
A minha alma comovida
O meu pobre coração

Infeliz da minha mágoa
Meus olhos são poças d'água
Sonhando com seu olhar
Ela é tão rica e eu tão pobre
Eu sou plebeu e ela é nobre
Não vale a pena sonhar"
A Faca e o Queijo,316676,https://www.letras.com/gilberto-gil/316676/,A Faca e o Queijo de Gilberto Gil,"{'windowPageArgs': '{""album_name"":""To Be Good Is To Be Alive: Anos 90"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Faca e o Queijo"",""url"":""316676""}', 'views': 118, 'lyrics': 'Você reclama\nQue eu não lhe faço uma canção\nAcha que a chama\nA velha chama da paixão\nNão nos inflama mais\nCom tanto ardor\nComo na época em que éramos\nA faca e o queijo\n\n\nA faca e o queijo\nE o desejo tinha mãos\nE as mãos, traquejo\nNo bom manejo da emoção\nNo jeito de tomar \nNo ato de cortar \nNo simples fato de juntar \nA faca e o queijo\n\nA gente ama\nE o amor produz transformações\nA velha chama\nAcende novas ilusões\nCom mãos bem mais sutis\nNovos desejos\nVão tornando nossos beijos\nMais azuis, menos carmins\n\nVocê reclama\nE eu sei que é só por reclamar\nComo quem chama\nOutra criança pra jogar\nSeus jogos infantis\nAinda nos vejo como outrora\nFaca e queijo, sim\nNum tempo mais feliz'}","{""album_name"":""To Be Good Is To Be Alive: Anos 90"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Faca e o Queijo"",""url"":""316676""}",118,"Você reclama
Que eu não lhe faço uma canção
Acha que a chama
A velha chama da paixão
Não nos inflama mais
Com tanto ardor
Como na época em que éramos
A faca e o queijo


A faca e o queijo
E o desejo tinha mãos
E as mãos, traquejo
No bom manejo da emoção
No jeito de tomar 
No ato de cortar 
No simples fato de juntar 
A faca e o queijo

A gente ama
E o amor produz transformações
A velha chama
Acende novas ilusões
Com mãos bem mais sutis
Novos desejos
Vão tornando nossos beijos
Mais azuis, menos carmins

Você reclama
E eu sei que é só por reclamar
Como quem chama
Outra criança pra jogar
Seus jogos infantis
Ainda nos vejo como outrora
Faca e queijo, sim
Num tempo mais feliz"
A Força Secreta Daquela Alegria,46177,https://www.letras.com/gilberto-gil/46177/,A Força Secreta Daquela Alegria de Gilberto Gil,"{'windowPageArgs': '{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Força Secreta Daquela Alegria"",""url"":""46177""}', 'views': 95, 'lyrics': 'Que roseira bonita\nQue me olha tão aflita (2x)\nPela chuva que não vem \nCorro pego o regador\nEla me olha com amor \nSabe o que lhe convém\nSabe o que lhe convém \nÀs vezes falo ao acaso\nCom a samambaia de um vaso \nEm cima da janela olhando a baía\nEm cima da janela olhando a baía\nUsando telepatia falamos da vida \nSobre os amores das flores\n'}","{""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Força Secreta Daquela Alegria"",""url"":""46177""}",95,"Que roseira bonita
Que me olha tão aflita (2x)
Pela chuva que não vem 
Corro pego o regador
Ela me olha com amor 
Sabe o que lhe convém
Sabe o que lhe convém 
Às vezes falo ao acaso
Com a samambaia de um vaso 
Em cima da janela olhando a baía
Em cima da janela olhando a baía
Usando telepatia falamos da vida 
Sobre os amores das flores
"
A Gaivota,1504954,https://www.letras.com/gilberto-gil/1504954/,A Gaivota de Gilberto Gil,"{'windowPageArgs': '{""album_name"":""Refavela"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Gaivota"",""url"":""1504954""}', 'views': 171, 'lyrics': ""Gaivota menina\nDe asas paradas\nVoando no sonho\nD'aguas da lagoa\nGaivota querida\nVoa numa boa\nQue o vento segura\nVoa numa boa\n\n\nGaivota na ilha\nSem noção da milha\nFicou longe a terra\nGaivota menina\nGaivota querida\nVoa numa boa\nQue o alento segura\nVoa numa boa\n\nGaivota, te amo e gaivotaria sempre em ti\nGaivotar seria poder te eleger para mim\nEu te quero, e se fosse o caso, quereria mais ainda\nSer, eu mesmo, gaivota sobre mim\nSobrevoar meus temores, meus amores\nE alcançar o alto, alto, o mais alto dos teus sonhos\nDos teus sonhos de subir\n\nDe subir aos ares\nGaivota querida\nGaivota menina\nPousa perto de mim""}","{""album_name"":""Refavela"",""artist_name"":""Gilberto Gil"",""dns"":""gilberto-gil"",""genre"":""mpb"",""lyric_lang"":""pt"",""page"":""lyric"",""track_name"":""A Gaivota"",""url"":""1504954""}",171,"Gaivota menina
De asas paradas
Voando no sonho
D'aguas da lagoa
Gaivota querida
Voa numa boa
Que o vento segura
Voa numa boa


Gaivota na ilha
Sem noção da milha
Ficou longe a terra
Gaivota menina
Gaivota querida
Voa numa boa
Que o alento segura
Voa numa boa

Gaivota, te amo e gaivotaria sempre em ti
Gaivotar seria poder te eleger para mim
Eu te quero, e se fosse o caso, quereria mais ainda
Ser, eu mesmo, gaivota sobre mim
Sobrevoar meus temores, meus amores
E alcançar o alto, alto, o mais alto dos teus sonhos
Dos teus sonhos de subir

De subir aos ares
Gaivota querida
Gaivota menina
Pousa perto de mim"
